semester,year,total_book_requests,rock_book_requests,scili_book_requests,orwig_book_requests,hay_book_requests
Fall,2005,1207,786,115,306,0
Spring,2006,1490,941,133,416,0
Summer,2006,38,2,5,31,0
Fall,2006,1190,915,153,122,0
Spring,2007,1410,1086,114,206,4
Summer,2007,67,45,12,10,0
Fall,2007,949,695,150,104,0
Spring,2008,1197,857,159,181,0
Summer,2008,42,36,6,0,0
Fall,2008,1353,1037,91,224,1
Spring,2009,1042,903,66,73,0
Summer,2009,51,38,13,0,0
Fall,2009,1383,1247,116,7,13
Spring,2010,1566,1133,123,310,0
Summer,2010,34,21,9,4,0
Fall,2010,1367,961,115,291,0
Spring,2011,1217,1021,75,121,0
Summer,2011,87,50,0,37,0
Summer Noncredit,2011,60,46,0,14,0
Fall,2011,1145,832,99,214,0
Spring,2012,1413,1076,62,275,0
Summer Noncredit,2012,52,41,10,1,0
EXEC Spring,2012,52,41,10,1,0
Fall,2012,1216,1062,97,57,0
Spring,2013,1268,876,97,295,0
Summer Noncredit,2013,42,29,11,0,2
Summer,2013,45,32,11,0,2
Fall,2013,1031,794,90,147,0
Spring,2014,1191,908,103,180,0
Spring CE,2014,3,0,3,0,0
EMHL Term 3,2014,4,0,4,0,0
Summer,2014,32,27,5,0,0
Summer Noncredit,2014,22,22,0,0,0
Fall,2014,1053,891,54,108,0
Spring,2015,799,677,58,64,0
Summer Noncredit,2015,37,29,8,0,0
Summer,2015,314,11,3,300,0
SPS Exec Ed,2015,1,1,0,0,0
Fall,2015,1171,948,74,149,0
Spring,2016,993,839,70,75,9
Summer Noncredit,2016,20,12,8,0,0
Summer,2016,21,21,0,0,0
Fall,2016,999,782,0,214,3
Wintersession,2017,4,4,0,0,0
Spring,2017,1160,878,0,282,0
Summer Noncredit,2017,30,30,0,0,0
Summer,2017,16,16,0,0,0
Fall,2017,1143,952,0,185,6
Spring,2018,1485,1382,0,103,0
Summer,2018,11,11,0,0,0
Summer Noncredit,2018,9,9,0,0,0
Fall,2018,1396,1276,0,119,1
EXEC Spring,2019,1,1,0,0,0
Spring,2019,1523,1194,0,320,9
Wintersession,2019,13,13,0,0,0
Summer Noncredit,2019,29,29,0,0,0
Summer,2019,13,13,0,0,0
Fall,2019,1648,1431,17,200,0
Spring,2020,5,5,0,0,0
Wintersession,2020,5,5,0,0,0