,Workbookname,Date,Time,Type,Total Consumption (kWh),Distance,Mean Consumption,Total Time (ms),Average Speed,StdDev Speed,Average Acceleration,StdDev Acceleration,Average Jerk,StdDev Jerk,Initial SOC,Temperature,In Traffic,No Traffic
0,2018-11-29T20-34-18.csv,2018-11-29,15:34:18,No Traffic,7.074402795138889,27.745431955159574,0.0021970195015959286,3219000.0,49.92142857142857,31.148578800664403,-0.00017258637948293107,0.8225308451858178,-8.632000552448091e-05,0.6356345165179246,39.0,4.407453416149068,0,1
1,2018-11-30T15-03-05.csv,2018-11-30,10:03:05,No Traffic,6.4135715625,26.856008134715303,0.002340719548357667,2739000.0,56.786131386861314,23.158364531028266,-0.0003042472921990993,0.8369607749226072,-0.0004058112166220281,0.7427718710042818,72.5,2.978102189781022,0,1
2,2018-11-14T12-52-06.csv,2018-11-14,07:52:06,In Traffic,8.178843177083333,26.867745146124324,0.0030359477272024252,2693000.0,57.780994803266516,26.117367608614966,-0.0002062961587655243,0.9858213983932316,-0.0008254911672445116,0.7967271350996726,97.5,1.4498886414253898,1,0
3,2018-11-27T15-53-11.csv,2018-11-27,10:53:11,No Traffic,6.653620173611111,27.07504147997911,0.002521265696707502,2638000.0,59.44031830238727,23.21588654829132,-0.00031589588071771735,0.8039889662344839,0.0,0.6461227194972999,93.0,4.773020083364911,0,1
4,2018-11-05T21-05-26.csv,2018-11-05,16:05:26,No Traffic,6.6728475694444445,26.80992310462452,0.0022369586220061873,2982000.0,52.070734160241365,26.537750562678678,0.0,0.7392327513105765,0.0,0.5906601055976952,79.0,10.187730472678512,0,1
5,2018-11-19T13-01-20_run2.csv,2018-11-19,08:01:20,In Traffic,7.6066253645833335,28.584110461570926,0.0025279579144510925,3008000.0,55.03688933200399,31.4256706271017,-0.002123965721040186,1.0157355912487636,0.0004618852307578611,0.8253945255497628,49.5,6.322366234629445,1,0
6,2018-11-27T16-49-43_run2.csv,2018-11-27,11:49:43,No Traffic,6.936786059027778,28.145180755499027,0.0024203719675602834,2865000.0,56.895673412421495,25.91344032835205,-0.0038782237735117304,0.8785245725112222,0.0,0.696425745031119,50.0,5.8447313328681085,0,1
7,2018-11-14T19-54-58.csv,2018-11-14,14:54:58,No Traffic,8.133591840277779,28.496600685331,0.002550514844866046,3188000.0,51.77140169332079,30.066771947714063,-1.1144020322460793e-18,0.8789339888243689,-0.00034863856639821524,0.733941563449391,100.0,0.5327688930699279,0,1
8,2018-11-19T13-01-20_run1.csv,2018-11-19,08:01:20,In Traffic,7.387900069444444,28.340222268617914,0.002490863138720311,2965000.0,55.3583951449764,27.05170881356398,0.001405283867341202,0.8938765258604444,-0.0003748687959214275,0.7277201199983254,71.0,5.083951449763992,1,0
9,2018-11-27T16-49-43_run1.csv,2018-11-27,11:49:43,No Traffic,6.481990121527778,26.849967025902142,0.0025251227586785253,2566000.0,60.59953252824309,22.979287832871105,0.0045466354897375945,0.781360920674219,0.00010829542993285679,0.6736798430546401,71.0,5.625633034670822,0,1
10,2018-11-08T15-16-59.csv,2018-11-08,10:16:59,No Traffic,5.536666302083333,28.043172318106613,0.0018890024913283303,2930000.0,55.432275673831455,20.909893691051487,-0.0047402351156617395,0.7173014108751339,-0.0006638594893972156,0.5541540664977351,51.5,9.966223132036847,0,1
11,2018-11-15T16-47-06.csv,2018-11-15,11:47:06,No Traffic,7.891875000000001,28.020043501506716,0.0027241542975491857,2896000.0,56.03658957542285,26.78893692186505,-0.0004795887047268269,0.9965530392651063,-0.0006716561120706196,0.8652754655959476,41.5,-0.8608905764584053,0,1
12,2018-12-04T12-46-28_run1.csv,2018-12-04,07:46:28,In Traffic,8.008139166666666,26.776783307705408,0.003275312542603952,2444000.0,63.44989775051125,26.12799848080821,0.004205310056373886,0.9208635710823444,-0.0003411106562969026,0.794532200514987,97.0,0.631083844580777,1,0
13,2018-12-04T12-46-28_run2.csv,2018-12-04,07:46:28,In Traffic,7.665251215277777,29.336832619723197,0.0024895262147703033,3078000.0,55.202013640792465,26.107728706613635,0.00018049238322142663,0.9358273484873516,0.0,0.8719039458983938,71.0,2.078921727833712,1,0
14,2018-11-15T12-47-44.csv,2018-11-15,07:47:44,In Traffic,8.70509498263889,27.556431550854015,0.0029822182194720478,2918000.0,54.69407331277835,26.16710814790127,0.004474145152692103,0.854448196293009,0.0,0.7034359223856644,0.0,-3.627954779033916,1,0
15,2018-11-08T13-19-45.csv,2018-11-08,08:19:45,In Traffic,7.006974149305556,26.931608296437723,0.002630245551541118,2663000.0,58.570570570570574,25.275580118594316,-0.00020862018608920412,1.0322131832484616,0.0,1.037562201868412,86.0,7.6591591591591595,1,0
16,2018-11-15T13-37-51.csv,2018-11-15,08:37:51,In Traffic,8.006542065972223,28.213876792863022,0.0025563671985862845,3131000.0,52.190613026819925,28.093249410054273,-0.0009759040420171046,0.9548818911050975,-0.0006212282570110054,0.9067967952323526,69.0,-3.054916985951469,1,0
17,2018-11-28T12-26-14.csv,2018-11-28,07:26:14,In Traffic,6.985940989583334,27.0940278219641,0.0025431164869251298,2746000.0,57.143429195485986,22.872373735524633,0.00010115723881200939,0.753028763296554,-0.0005059704513256424,0.611065806100798,81.0,1.9879868947943211,1,0
18,2018-11-14T20-49-28.csv,2018-11-14,15:49:28,No Traffic,7.563558402777778,27.455803938333254,0.0026216840217600603,2884000.0,55.13656845753899,30.06591344344179,-0.0007705347511172752,0.949143965035012,9.635025243766139e-05,0.802147992757312,77.0,0.061351819757365686,0,1
19,2018-11-07T19-48-33.csv,2018-11-07,14:48:33,No Traffic,5.829519288194444,27.409201098915577,0.0019144562522806045,3044000.0,52.15073891625616,26.504764967419185,-0.0008212877792378452,0.7752937074940451,-0.0006389893014934093,0.5964006554056263,33.5,14.733990147783251,0,1
20,2018-11-28T13-17-30.csv,2018-11-28,08:17:30,In Traffic,6.844636284722222,26.905372623876605,0.0025210446720892155,2714000.0,57.41436464088398,28.24629047308138,-1.309032306116618e-18,0.826737352980081,-0.0003071630421427692,0.6240774146533343,58.0,2.539594843462247,1,0
21,2018-11-07T13-22-03.csv,2018-11-07,08:22:03,In Traffic,7.265156961805555,28.019870898397816,0.0026818593435974534,2708000.0,59.92506459948321,31.630469927137565,0.00020515345478417857,1.1224435244272797,0.0,1.1459791373261927,44.5,12.46843853820598,1,0
22,2018-11-21T15-57-44.csv,2018-11-21,10:57:44,No Traffic,7.2364486631944445,28.01590102689196,0.002735897415196385,2644000.0,61.366351606805296,25.25909615290702,8.398056162066237e-20,0.8791081265799572,-0.0010509942405515615,0.701463021938749,51.5,4.020793950850662,0,1
23,2018-11-26T12-34-09.csv,2018-11-26,07:34:09,In Traffic,7.065515364583334,27.239359639704038,0.0024296820373395185,2907000.0,54.26925722145805,26.69894957404923,-1.2221237285175441e-18,0.8106900494220298,-0.00028676301904106494,0.6452090565109508,47.0,4.472489683631362,1,0
24,2018-11-29T12-35-21.csv,2018-11-29,07:35:21,In Traffic,9.428443142361111,29.395517676767618,0.0031014615599872074,3039000.0,56.02203947368421,27.730615030838553,-0.00027421300866513186,1.0378697537765091,0.0,0.9257551763925704,64.0,2.714144736842105,1,0
25,2018-11-30T15-54-22.csv,2018-11-30,10:54:22,No Traffic,6.547548298611111,26.835986174076847,0.002695573609967529,2428000.0,64.00905722519555,24.407102910082497,0.0002288120080541846,0.9297863662523248,-0.0013734377145996444,0.7647901132299016,51.0,3.3709345409633595,0,1
26,2018-11-14T13-37-37.csv,2018-11-14,08:37:37,In Traffic,8.293731840277779,28.260997441607557,0.002888795485990176,2870000.0,57.03030303030303,29.224758987071066,-9.678668215253608e-05,1.0617876758630695,-9.682041748964049e-05,0.8635994745664562,74.5,1.9853709508881923,1,0
27,2018-11-21T13-08-24.csv,2018-11-21,08:08:24,In Traffic,8.027850711805556,27.668796174783918,0.0030758048704235858,2609000.0,61.418773946360155,24.935956912369384,-0.0004258762403645509,0.9809773807581801,-0.00021301976823449208,0.8406003460651676,41.5,1.1731800766283524,1,0
28,2018-11-26T19-23-11.csv,2018-11-26,14:23:11,No Traffic,6.727766493055555,26.828736843500614,0.00254936206633405,2638000.0,58.899583175445244,26.53332970281112,0.0005264931345295257,0.8609313460828082,-0.00031601567437744934,0.710404950539501,55.5,7.283061765820387,0,1
29,2018-11-29T19-33-55.csv,2018-11-29,14:33:55,No Traffic,6.91396138888889,27.03706879600901,0.002490620096861996,2775000.0,56.42759365994236,25.773059796782423,0.002302302302302301,0.8609927059727694,0.00040054474084755287,0.7336234233466136,63.0,5.787824207492795,0,1
